0,1,2,3,4,5,6
Assens,"[0, 6, 433, 443, 654, 1122, 1206, 2701]","[167, 408, 926, 656, 981, 2934, 3685, 4031]","[837, 1112, 991, 888, 1124, 1324, 321, 139]","[1778, 2100, 627, 1322, 1807, 731, 103, 39]","[911, 1141, 229, 511, 747, 220, 38, 25]","[290, 426, 177, 179, 195, 98, 41, 16]"
Helsingør,"[1, 5, 864, 708, 955, 1970, 2310, 4840]","[325, 692, 1522, 854, 1247, 3838, 4567, 5948]","[1133, 1661, 1341, 1205, 1543, 2154, 654, 324]","[2587, 3213, 960, 1822, 2848, 1374, 243, 95]","[1205, 1499, 468, 663, 1044, 463, 111, 67]","[638, 712, 415, 411, 512, 302, 124, 70]"
Aabenraa,"[0, 9, 1078, 838, 1026, 1719, 1909, 3891]","[281, 544, 1698, 919, 1278, 4196, 5470, 5792]","[1125, 1477, 1318, 1147, 1425, 1598, 470, 167]","[2493, 2759, 863, 1892, 2334, 919, 125, 39]","[1362, 1631, 326, 787, 1011, 268, 29, 19]","[513, 712, 204, 280, 326, 119, 45, 26]"
Svendborg,"[0, 41, 1420, 812, 997, 1759, 2180, 4139]","[281, 625, 1692, 934, 1146, 3590, 5262, 5509]","[1149, 1478, 1333, 1190, 1323, 1714, 549, 211]","[2575, 2632, 878, 1881, 2343, 913, 148, 50]","[1176, 1399, 322, 648, 992, 239, 64, 19]","[513, 532, 358, 338, 339, 127, 89, 37]"
Rebild,"[0, 3, 252, 313, 362, 626, 678, 1621]","[126, 232, 755, 522, 618, 2027, 2584, 2454]","[715, 748, 733, 769, 752, 915, 210, 100]","[1857, 1681, 445, 1421, 1530, 513, 52, 15]","[851, 995, 150, 476, 662, 139, 21, 7]","[254, 349, 92, 138, 169, 87, 28, 7]"
Greve,"[2, 13, 437, 330, 571, 979, 1068, 2862]","[248, 506, 973, 695, 1085, 3135, 3569, 4834]","[1134, 1399, 1199, 1286, 1489, 1807, 476, 221]","[2760, 2777, 862, 1967, 2713, 1170, 143, 51]","[1126, 1148, 387, 684, 892, 325, 76, 39]","[541, 564, 461, 486, 454, 268, 134, 64]"
Lemvig,"[0, 1, 323, 245, 291, 573, 671, 1512]","[54, 106, 456, 261, 334, 1390, 2076, 2206]","[308, 417, 438, 310, 382, 680, 172, 52]","[706, 830, 334, 523, 672, 373, 38, 3]","[421, 692, 108, 230, 443, 115, 13, 4]","[213, 267, 72, 107, 137, 40, 13, 3]"
Dragør,"[0, 0, 80, 123, 221, 368, 473, 507]","[59, 110, 180, 218, 864, 1146, 1164, 348]","[328, 418, 457, 451, 559, 152, 52, 21]","[841, 855, 565, 950, 376, 61, 24, 3]","[394, 352, 198, 306, 102, 19, 9, 2]","[114, 133, 123, 133, 86, 40, 14, 2]"
Langeland,"[0, 3, 119, 138, 224, 469, 659, 1377]","[46, 99, 253, 177, 280, 883, 1483, 1670]","[165, 242, 233, 212, 269, 347, 132, 76]","[379, 405, 131, 319, 364, 128, 22, 8]","[134, 208, 53, 87, 135, 53, 11, 7]","[93, 126, 49, 75, 59, 25, 10, 6]"
Læsø,"[0, 0, 16, 18, 28, 61, 120, 238]","[1, 9, 29, 18, 58, 134, 219, 276]","[14, 34, 23, 18, 36, 44, 12, 11]","[33, 60, 22, 14, 49, 30, 3, 0]","[29, 25, 6, 14, 18, 3, 0, 0]","[18, 18, 0, 9, 8, 4, 0, 1]"
Jammerbugt,"[0, 6, 440, 442, 616, 917, 1200, 2534]","[149, 307, 874, 572, 813, 2611, 3671, 3916]","[760, 934, 957, 784, 1001, 1262, 294, 150]","[1708, 1830, 566, 1291, 1573, 634, 81, 21]","[985, 1066, 266, 523, 733, 194, 29, 16]","[343, 462, 161, 192, 216, 62, 20, 10]"
Furesø,"[0, 0, 320, 270, 412, 823, 932, 2615]","[149, 359, 616, 473, 640, 2254, 2898, 3836]","[778, 1088, 775, 895, 955, 1431, 423, 168]","[2503, 2400, 618, 1661, 2350, 1126, 137, 36]","[1212, 1308, 285, 593, 1079, 322, 50, 26]","[483, 393, 273, 365, 343, 123, 50, 35]"
Egedal,"[0, 1, 251, 217, 421, 750, 738, 1985]","[160, 399, 657, 526, 851, 2789, 2785, 3770]","[983, 1231, 1072, 1080, 1413, 1676, 402, 227]","[2587, 2946, 774, 1848, 2892, 1120, 144, 69]","[1020, 1181, 306, 572, 926, 309, 79, 52]","[405, 405, 256, 335, 302, 211, 89, 72]"
Ringsted,"[0, 2, 566, 453, 606, 917, 951, 1842]","[164, 364, 1179, 630, 972, 2172, 2412, 2510]","[794, 953, 979, 874, 1066, 1121, 293, 121]","[1678, 1732, 666, 1279, 1662, 662, 134, 50]","[675, 796, 240, 416, 578, 182, 46, 15]","[369, 375, 280, 346, 353, 148, 66, 34]"
Herlev,"[0, 3, 872, 401, 484, 775, 969, 1828]","[185, 378, 936, 580, 607, 1541, 1961, 1961]","[724, 751, 730, 761, 698, 865, 262, 104]","[1714, 1385, 449, 1219, 1391, 519, 76, 13]","[746, 643, 170, 418, 501, 127, 33, 12]","[250, 262, 106, 142, 192, 68, 34, 20]"
Gribskov,"[0, 22, 169, 208, 390, 878, 1171, 2853]","[108, 349, 517, 420, 819, 2622, 3519, 4588]","[597, 1034, 849, 733, 1099, 1609, 669, 382]","[1392, 1873, 668, 1066, 1691, 960, 253, 159]","[814, 985, 325, 485, 782, 366, 159, 85]","[568, 736, 416, 398, 482, 375, 184, 114]"
Ringkøbing-Skjern,"[0, 4, 901, 717, 880, 1469, 1606, 3710]","[196, 398, 1472, 795, 1044, 3750, 5225, 5359]","[920, 1225, 1307, 994, 1165, 1616, 419, 122]","[2337, 2611, 939, 1763, 2141, 975, 113, 27]","[1612, 2255, 438, 961, 1464, 321, 37, 9]","[716, 925, 311, 386, 457, 127, 38, 18]"
Billund,"[0, 3, 502, 400, 450, 659, 690, 1647]","[102, 243, 686, 460, 583, 1802, 2281, 2389]","[594, 680, 614, 655, 681, 773, 172, 49]","[1354, 1276, 463, 1007, 1136, 456, 57, 13]","[606, 814, 128, 350, 526, 121, 15, 2]","[244, 310, 101, 133, 180, 59, 16, 11]"
Vallensbæk,"[0, 0, 153, 131, 179, 273, 303, 805]","[67, 134, 401, 282, 287, 788, 957, 1453]","[451, 407, 461, 489, 480, 452, 120, 67]","[982, 822, 297, 789, 855, 295, 44, 16]","[508, 422, 187, 348, 333, 103, 29, 12]","[295, 236, 263, 270, 201, 70, 41, 18]"
Silkeborg,"[1, 15, 1635, 1270, 1442, 2308, 2646, 5213]","[438, 885, 3010, 1602, 1979, 5543, 7390, 7598]","[2124, 2381, 2355, 2227, 2295, 2915, 741, 268]","[4906, 4958, 1422, 3683, 4688, 1662, 225, 68]","[2534, 3041, 555, 1376, 2089, 561, 86, 38]","[725, 954, 397, 452, 581, 253, 90, 38]"
Brøndby,"[0, 11, 554, 460, 578, 925, 1066, 2285]","[228, 341, 1049, 679, 736, 1844, 2263, 2392]","[841, 808, 930, 978, 911, 1062, 335, 154]","[1638, 1397, 754, 1327, 1274, 659, 133, 47]","[826, 809, 393, 600, 567, 225, 64, 24]","[558, 549, 442, 458, 449, 170, 120, 74]"
Lyngby-Taarbæk,"[0, 6, 2501, 917, 900, 1548, 1861, 4113]","[292, 623, 2434, 1094, 947, 2631, 3546, 3774]","[1149, 1516, 1111, 1246, 1232, 1802, 507, 168]","[2980, 2912, 586, 1748, 2996, 1273, 153, 48]","[1381, 1512, 310, 606, 1180, 371, 50, 31]","[416, 481, 285, 233, 335, 133, 51, 30]"
Holstebro,"[0, 16, 1618, 910, 984, 1456, 1614, 3411]","[253, 466, 2323, 960, 1054, 3469, 4916, 5003]","[1209, 1299, 1471, 1221, 1215, 1581, 412, 163]","[2893, 2811, 853, 2155, 2468, 902, 99, 19]","[1717, 1874, 343, 985, 1230, 306, 54, 15]","[554, 700, 354, 332, 365, 151, 41, 20]"
Fredericia,"[0, 12, 1317, 941, 1205, 1601, 1591, 3184]","[335, 557, 1852, 1044, 1196, 3428, 3868, 4606]","[1142, 1313, 1294, 1117, 1336, 1397, 337, 125]","[2340, 2302, 738, 1745, 2095, 738, 77, 31]","[1065, 1267, 239, 618, 813, 202, 34, 18]","[461, 565, 229, 283, 308, 107, 44, 19]"
