0,1,2,3,4,5,6
Assens,6565,13788,6736,8507,3822,1422
Helsingør,11653,18993,10015,13142,5520,3184
Aabenraa,10470,20178,8727,11424,5433,2225
Svendborg,11348,19039,8947,11420,4859,2333
Rebild,3855,9318,4942,7514,3301,1124
Greve,6262,15045,9011,12443,4677,2972
Lemvig,3616,6883,2759,3479,2026,852
Dragør,1772,4089,2438,3675,1382,645
Langeland,2989,4891,1676,1756,688,443
Læsø,481,744,192,211,95,58
Jammerbugt,6155,12913,6142,7704,3812,1466
Furesø,5372,11225,6513,10831,4875,2065
Egedal,4363,11937,8084,12380,4445,2075
Ringsted,5337,10403,6201,7863,2948,1971
Herlev,5332,8149,4895,6766,2650,1074
Gribskov,5691,12942,6972,8062,4001,3273
Ringkøbing-Skjern,9287,18239,7768,10906,7097,2978
Billund,4351,8546,4218,5762,2562,1054
Vallensbæk,1844,4369,2927,4100,1942,1394
Silkeborg,14530,28445,15306,21612,10280,3490
Brøndby,5879,9532,6019,7229,3508,2820
Lyngby-Taarbæk,11846,15341,8731,12696,5441,1964
Holstebro,10009,18444,8571,12200,6524,2517
Fredericia,9851,16886,8061,10066,4256,2016
Esbjerg,22508,38094,17645,22617,10376,3677
Syddjurs,6816,14133,6777,9086,4093,1899
Skanderborg,7540,17257,10294,18003,7360,2067
Norddjurs,7351,12966,5740,6234,2988,1433
Aarhus,65662,112092,58148,65368,28449,18377
Hillerød,7560,14410,8763,12360,5139,2784
Skive,8786,15948,6460,8534,4540,1385
Kalundborg,8973,16263,7875,9011,3876,2204
Bornholm,8588,14807,5768,5680,3076,1441
Mariagerfjord,7524,14011,6662,8369,3588,1454
Vejle,18938,35179,18456,26179,11751,4687
Thisted,7708,14791,6369,8157,4466,1724
Morsø,4004,7161,2812,3335,1855,967
Horsens,15453,27800,14799,20624,8485,3225
Solrød,2710,6660,4391,6475,2261,706
Albertslund,5035,7112,4480,5535,3214,2160
Viborg,16498,30047,14909,21022,9996,3896
Randers,19196,31622,15056,20060,8337,3033
Fredensborg,6034,12064,7145,9601,3897,2035
Haderslev,10263,18642,8439,10567,5149,2331
Slagelse,15407,25720,13135,14612,6209,3555
Herning,15038,27573,13342,19383,9541,3776
Hørsholm,4317,7821,3786,5677,2235,993
Odder,3469,7323,3513,5230,2181,1051
Frederikssund,6744,13875,8033,9501,4401,2550
Frederiksberg,19903,24148,16224,17154,5762,2426
Fanø,720,1276,477,620,260,132
Kerteminde,4028,8285,3905,4856,1811,839
Glostrup,4578,6546,3994,4745,1952,1246
Vesthimmerlands,6536,12410,5551,7053,3472,1528
Hvidovre,9205,14180,9322,12356,5068,3192
Gentofte,12727,19472,11886,16941,8781,4822
Roskilde,14935,25826,14306,20340,8409,3744
Samsø,925,1418,467,459,233,147
Frederikshavn,12083,22175,8590,10518,4325,1688
Tønder,6771,13067,5333,6503,3783,1737
Holbæk,11456,22429,11878,14960,6471,4006
Næstved,14991,27040,14165,16014,6586,3865
Ikast-Brande,6274,12904,6485,9204,4420,1847
Gladsaxe,12860,18191,12050,16131,6826,3000
Køge,8707,18233,10829,14151,5249,3612
Vejen,6465,13484,6870,8927,4697,2115
Rødovre,7587,11157,6941,8954,3718,2166
Nordfyns,4524,9979,4701,6429,2717,1213
Ballerup,8610,14278,8558,10617,4456,1964
Tårnby,6656,12058,7507,10365,4025,2270
Odsherred,6669,11942,5169,5046,2385,1602
Ærø,1588,2407,724,660,332,176
København,102424,122507,95201,99438,39218,24270
Halsnæs,5069,9893,5526,5917,2894,1982
Lolland,9714,15070,5792,5834,2923,1555
Guldborgsund,13007,21368,9252,10102,4266,2386
Brønderslev,5874,11729,5658,8100,3521,1269
Middelfart,6170,13110,6438,8425,3348,1225
Vordingborg,9366,15720,7058,7784,3226,2156
Odense,42041,65101,32947,38783,16132,8592
Høje-Taastrup,7513,13387,8665,10901,5539,4579
Stevns,3319,7835,3764,4693,1886,1241
Struer,3883,7392,3129,3710,2061,732
Ishøj,3257,5782,3758,4847,3031,2218
Hjørring,11881,22330,9645,12030,5849,2469
Lejre,3090,8217,4725,7204,2753,1933
Faaborg-Midtfyn,8490,17340,8252,10753,4314,2216
Faxe,5659,11972,6382,7229,3271,1904
Nyborg,5858,10758,5134,6318,2685,1071
Sorø,4851,9457,5058,6389,2709,1326
Rudersdal,9172,15655,9115,13939,6088,2594
Aalborg,45886,73781,33323,40141,16291,6258
Varde,7859,16467,7483,10117,5646,2198
Kolding,15896,29218,14655,20745,8756,3378
Allerød,2902,7158,4385,7113,2967,1055
Hedensted,6257,14650,7786,10879,4784,2235
Christiansø,14,32,6,12,20,0
Favrskov,6078,13927,7730,12797,5713,2036
Sønderborg,14179,25370,10989,14449,6237,2546
