sogn_idx,sogn,kommune,kommune_idx,landsdel,landsdel_idx,region,region_idx,land,land_idx
1,9214,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
2,8148,Favrskov,17,Vestjylland,9,Midtjylland,4,Danmark,1
3,8011,Skanderborg,78,Vestjylland,9,Midtjylland,4,Danmark,1
4,8578,Skive,79,Sydjylland,8,Syddanmark,3,Danmark,1
5,8725,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
6,8074,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
7,8328,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
8,7435,Gribskov,29,Østsjælland,5,Sjælland,2,Danmark,1
9,8948,Vejen,93,Nordjylland,11,Nordjylland,5,Danmark,1
10,7205,Solrød,81,Byen København,1,Hovedstaden,1,Danmark,1
11,8021,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
12,8025,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
13,7973,Vejle,94,Nordjylland,11,Nordjylland,5,Danmark,1
14,8131,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
15,9130,Holstebro,40,Sydjylland,8,Syddanmark,3,Danmark,1
16,8113,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
17,8065,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
18,9266,Billund,8,Nordjylland,11,Nordjylland,5,Danmark,1
19,7498,Stevns,83,Københavns omegn,2,Hovedstaden,1,Danmark,1
20,8096,Odder,66,Vestjylland,9,Midtjylland,4,Danmark,1
21,9205,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
22,7878,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
23,9239,Furesø,24,Østsjælland,5,Sjælland,2,Danmark,1
24,8290,Rebild,70,Fyn,7,Syddanmark,3,Danmark,1
25,8827,Holstebro,40,Sydjylland,8,Syddanmark,3,Danmark,1
26,9275,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
27,8055,Horsens,41,Vestjylland,9,Midtjylland,4,Danmark,1
28,7162,Høje-Taastrup,43,Bornholm,4,Hovedstaden,1,Danmark,1
29,7465,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
30,8078,Skanderborg,78,Vestjylland,9,Midtjylland,4,Danmark,1
31,7405,Hillerød,37,Østsjælland,5,Sjælland,2,Danmark,1
