maalgruppe,53,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19,260,291,367,920,0,0,0,1830,1221,1700,1596,226,219,431,7556,17610,19670,18779,11323,21369,22157,22841,2404,0,0,0,0,0,0
20-29,6819,3695,10264,2616,0,0,0,13515,11894,12655,11878,7528,5580,1226,21489,47643,52371,49999,30147,56897,58993,60816,6402,0,0,0,0,0,0
30-39,7646,4031,11525,2327,0,0,0,14182,12768,13289,12473,8486,6251,1090,19116,41798,45732,43661,26326,49685,51515,53107,5590,0,0,0,0,0,0
40-49,5760,3178,8661,2521,0,0,0,11915,10338,11153,10468,6336,4716,1181,20712,46207,50896,48590,29298,55294,57331,59102,6222,0,0,0,0,0,0
50-59,4348,2543,6514,2688,0,0,0,10252,8538,9584,8995,4723,3566,1259,22082,49987,55322,52816,31846,60102,62316,64242,6763,0,0,0,0,0,0
60-69,5929,14077,18231,4055,3180,0,0,7870,6183,9236,12241,4055,3374,3436,128691,74379,18686,17840,10757,20301,21049,21699,2284,0,0,0,0,0,0
70-79,4292,10253,11867,2649,2219,0,0,3993,16912,8948,19399,7592,7200,29390,157930,42979,2212,2112,1273,2404,2492,2569,270,0,0,0,0,0,0
80-89,6669,6021,2916,1273,0,1447,8682,62255,21589,7422,13038,28488,11083,0,0,504,737,704,424,801,830,856,90,0,0,0,0,0,0
90-,4096,3679,1702,476,0,802,4817,25495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
