dag,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
0,0,0,811,1038,681,486,463,946,1064,709
1,0,0,811,1038,681,486,463,946,1064,709
2,0,0,811,1038,681,486,463,946,1064,709
3,0,0,811,1038,681,486,463,946,1064,709
4,0,0,811,1038,681,486,463,946,1064,709
5,0,0,811,1038,681,486,463,946,1064,709
6,0,0,811,1038,681,486,463,946,1064,709
7,0,0,1280,1455,1124,956,1529,3324,1386,966
8,0,0,1280,1455,1124,956,1529,3324,1386,966
9,0,0,1280,1455,1124,956,1529,3324,1386,966
10,0,0,1280,1455,1124,956,1529,3324,1386,966
11,0,0,1280,1455,1124,956,1529,3324,1386,966
12,0,0,1280,1455,1124,956,1529,3324,1386,966
13,0,0,1280,1455,1124,956,1529,3324,1386,966
14,0,0,1280,1455,1124,956,1293,2377,321,257
15,0,0,1280,1455,1124,956,1293,2377,321,257
16,0,0,1280,1455,1124,956,1293,2377,321,257
17,0,0,1280,1455,1124,956,1293,2377,321,257
18,0,0,1280,1455,1124,956,1293,2377,321,257
19,0,0,1280,1455,1124,956,1293,2377,321,257
20,0,0,1280,1455,1124,956,1293,2377,321,257
21,0,0,1211,1394,1059,886,560,355,1980,848
22,0,0,1211,1394,1059,886,560,355,1980,848
23,0,0,1211,1394,1059,886,560,355,1980,848
24,0,0,1211,1394,1059,886,560,355,1980,848
25,0,0,1211,1394,1059,886,560,355,1980,848
26,0,0,1211,1394,1059,886,560,355,1980,848
27,0,0,1211,1394,1059,886,560,355,1980,848
28,0,0,1211,1394,1059,886,560,355,1980,848
29,0,0,1211,1394,1059,886,560,355,1980,848
30,0,0,1211,1394,1059,886,560,355,1980,848
31,0,0,1211,1394,1059,886,560,355,1980,848
32,0,0,1211,1394,1059,886,560,355,1980,848
33,0,0,1211,1394,1059,886,560,355,1980,848
34,0,0,1211,1394,1059,886,560,355,1980,848
35,0,0,1211,1394,1059,886,560,355,1980,848
36,0,0,1211,1394,1059,886,560,355,1980,848
37,0,0,1211,1394,1059,886,560,355,1980,848
38,0,0,1211,1394,1059,886,560,355,1980,848
39,0,0,1211,1394,1059,886,560,355,1980,848
40,0,0,1211,1394,1059,886,560,355,1980,848
41,0,0,1211,1394,1059,886,560,355,1980,848
42,0,0,1211,1394,1059,886,560,355,5194,848
43,0,0,1211,1394,1059,886,560,355,5194,848
44,0,0,1211,1394,1059,886,560,355,5194,848
45,0,0,1211,1394,1059,886,560,355,5194,848
46,0,0,1211,1394,1059,886,560,355,5194,848
47,0,0,1211,1394,1059,886,560,355,5194,848
48,0,0,1211,1394,1059,886,560,355,5194,848
49,0,0,1211,1394,1059,886,560,355,5194,848
50,0,0,1211,1394,1059,886,560,355,5194,848
51,0,0,1211,1394,1059,886,560,355,5194,848
52,0,0,1211,1394,1059,886,560,355,5194,848
53,0,0,1211,1394,1059,886,560,355,5194,848
54,0,0,1211,1394,1059,886,560,355,5194,848
55,0,0,1211,1394,1059,886,560,355,5194,848
56,0,0,1211,1394,1059,886,560,355,3214,0
57,0,0,1211,1394,1059,886,560,355,3214,0
58,0,0,1211,1394,1059,886,560,355,3214,0
59,0,0,1211,1394,1059,886,560,355,3214,0
60,0,0,1211,1394,1059,886,560,355,3214,0
61,0,0,1211,1394,1059,886,560,355,3214,0
62,0,0,1211,1394,1059,886,560,355,3214,0
63,0,0,1211,1394,1059,886,560,355,3214,0
64,0,0,1211,1394,1059,886,560,355,3214,0
65,0,0,1211,1394,1059,886,560,355,3214,0
66,0,0,1211,1394,1059,886,560,355,3214,0
67,0,0,1211,1394,1059,886,560,355,3214,0
68,0,0,1211,1394,1059,886,560,355,3214,0
69,0,0,1211,1394,1059,886,560,355,3214,0
70,0,0,1211,1394,1059,886,560,355,3214,0
71,0,0,1211,1394,1059,886,560,355,3214,0
72,0,0,1211,1394,1059,886,560,355,3214,0
73,0,0,1211,1394,1059,886,560,355,3214,0
74,0,0,1211,1394,1059,886,560,355,3214,0
75,0,0,1211,1394,1059,886,560,355,3214,0
76,0,0,1211,1394,1059,886,560,355,3214,0
77,0,0,1211,1394,1059,886,560,355,3214,0
78,0,0,1211,1394,1059,886,560,355,3214,0
79,0,0,1211,1394,1059,886,560,355,3214,0
80,0,0,1211,1394,1059,886,560,355,3214,0
81,0,0,1211,1394,1059,886,560,355,3214,0
82,0,0,1211,1394,1059,886,560,355,3214,0
83,0,0,1211,1394,1059,886,560,355,3214,0
84,0,0,811,1038,681,486,227,10714,0,0
85,0,0,811,1038,681,486,227,10714,0,0
86,0,0,811,1038,681,486,227,10714,0,0
87,0,0,811,1038,681,486,227,10714,0,0
88,0,0,811,1038,681,486,227,10714,0,0
89,0,0,811,1038,681,486,227,10714,0,0
90,0,0,811,1038,681,486,227,10714,0,0
91,0,0,811,1038,681,486,15395,22632,0,0
92,0,0,811,1038,681,486,15395,22632,0,0
93,0,0,811,1038,681,486,15395,22632,0,0
94,0,0,811,1038,681,486,15395,22632,0,0
95,0,0,811,1038,681,486,15395,22632,0,0
96,0,0,811,1038,681,486,15395,22632,0,0
97,0,0,811,1038,681,486,15395,22632,0,0
98,0,0,8871,8100,8485,9257,19025,22632,0,0
99,0,0,8871,8100,8485,9257,19025,22632,0,0
100,0,0,8871,8100,8485,9257,19025,22632,0,0
101,0,0,8871,8100,8485,9257,19025,22632,0,0
102,0,0,8871,8100,8485,9257,19025,22632,0,0
103,0,0,8871,8100,8485,9257,19025,22632,0,0
104,0,0,8871,8100,8485,9257,19025,22632,0,0
105,0,0,0,0,0,0,15168,11917,0,0
106,0,0,0,0,0,0,15168,11917,0,0
107,0,0,0,0,0,0,15168,11917,0,0
108,0,0,0,0,0,0,15168,11917,0,0
109,0,0,0,0,0,0,15168,11917,0,0
110,0,0,0,0,0,0,15168,11917,0,0
111,0,0,0,0,0,0,15168,11917,0,0
112,0,0,15968,13191,15968,17357,6942,0,0,0
113,0,0,15968,13191,15968,17357,6942,0,0,0
114,0,0,15968,13191,15968,17357,6942,0,0,0
115,0,0,15968,13191,15968,17357,6942,0,0,0
116,0,0,15968,13191,15968,17357,6942,0,0,0
117,0,0,15968,13191,15968,17357,6942,0,0,0
