"Voksne 1. januar efter tid, alder, område og antal personer i husstand "

" "," "," ","1 person","2 personer","3 personer","4 personer","5 personer","6 personer og derover"
"2020"
" ","Under 20 år"
" "," ","København",674,879,567,302,149,290
" "," ","Frederiksberg",91,132,75,29,8,26
" "," ","Dragør",2,4,5,3,4,1
" "," ","Tårnby",15,26,20,15,15,17
" "," ","Albertslund",88,24,26,13,21,23
" "," ","Ballerup",44,24,19,11,9,12
" "," ","Brøndby",13,20,20,15,12,23
" "," ","Gentofte",44,56,36,23,19,23
" "," ","Gladsaxe",46,47,34,25,14,38
" "," ","Glostrup",14,22,11,7,8,5
" "," ","Herlev",42,19,10,6,5,5
" "," ","Hvidovre",69,48,26,12,12,37
" "," ","Høje-Taastrup",17,31,32,35,26,34
" "," ","Ishøj",15,10,13,9,19,30
" "," ","Lyngby-Taarbæk",97,49,23,8,9,9
" "," ","Rødovre",22,35,25,18,7,22
" "," ","Vallensbæk",4,7,16,8,8,14
" "," ","Allerød",9,4,10,7,13,10
" "," ","Egedal",13,11,10,12,10,14
" "," ","Fredensborg",10,20,13,15,8,23
" "," ","Frederikssund",22,23,25,19,9,21
" "," ","Furesø",9,19,15,9,10,22
" "," ","Gribskov",21,6,24,14,14,28
" "," ","Halsnæs",16,21,24,15,11,16
" "," ","Helsingør",32,57,26,22,15,36
" "," ","Hillerød",56,40,21,20,6,24
" "," ","Hørsholm",3,9,6,7,5,5
" "," ","Rudersdal",75,31,23,13,7,16
" "," ","Bornholm",54,33,19,8,14,11
" "," ","Christiansø",0,0,0,0,0,0
" "," ","Greve",36,21,37,17,13,24
" "," ","Køge",35,43,37,33,21,29
" "," ","Lejre",13,9,15,16,12,9
" "," ","Roskilde",128,108,31,32,21,34
" "," ","Solrød",4,18,7,9,9,5
" "," ","Faxe",28,36,20,19,14,42
" "," ","Guldborgsund",94,110,51,34,19,33
" "," ","Holbæk",70,83,50,32,24,82
" "," ","Kalundborg",47,65,45,21,14,42
" "," ","Lolland",64,70,25,18,17,23
" "," ","Næstved",118,140,40,58,34,92
" "," ","Odsherred",21,44,24,14,10,31
" "," ","Ringsted",32,29,18,17,12,21
" "," ","Slagelse",125,144,56,28,36,46
" "," ","Sorø",24,21,18,11,6,11
" "," ","Stevns",7,13,16,15,4,12
" "," ","Vordingborg",58,56,34,24,24,60
" "," ","Assens",21,32,26,13,13,20
" "," ","Faaborg-Midtfyn",38,56,25,11,16,45
" "," ","Kerteminde",31,21,10,8,9,9
" "," ","Langeland",8,17,13,4,2,4
" "," ","Middelfart",30,38,21,11,12,25
" "," ","Nordfyns",13,23,18,11,13,24
" "," ","Nyborg",49,54,14,14,10,44
" "," ","Odense",278,453,221,125,88,134
" "," ","Svendborg",161,69,35,20,11,54
" "," ","Ærø",45,15,11,0,3,3
" "," ","Billund",47,34,12,10,3,9
" "," ","Esbjerg",205,230,61,27,19,24
" "," ","Fanø",1,2,0,0,0,0
" "," ","Fredericia",77,88,27,14,14,21
" "," ","Haderslev",90,88,36,21,11,33
" "," ","Kolding",174,182,78,31,14,48
" "," ","Sønderborg",200,120,57,23,18,32
" "," ","Tønder",36,57,25,9,12,33
" "," ","Varde",61,51,29,23,14,13
" "," ","Vejen",43,58,39,13,8,23
" "," ","Vejle",199,173,57,41,29,59
" "," ","Aabenraa",96,90,57,20,12,29
" "," ","Favrskov",23,31,19,11,12,20
" "," ","Hedensted",18,24,20,9,16,44
" "," ","Horsens",212,164,72,52,25,55
" "," ","Norddjurs",116,106,38,30,47,40
" "," ","Odder",15,17,15,6,9,15
" "," ","Randers",188,170,61,36,23,23
" "," ","Samsø",2,2,1,1,2,0
" "," ","Silkeborg",122,97,51,40,20,33
" "," ","Skanderborg",32,29,29,37,15,15
" "," ","Syddjurs",23,29,18,18,7,63
" "," ","Aarhus",496,642,262,132,101,254
" "," ","Herning",189,143,44,41,14,43
" "," ","Holstebro",120,92,27,24,16,47
" "," ","Ikast-Brande",57,46,22,20,10,80
" "," ","Lemvig",33,25,16,9,4,20
" "," ","Ringkøbing-Skjern",53,69,38,18,13,128
" "," ","Skive",78,76,14,10,5,15
" "," ","Struer",28,24,18,6,4,49
" "," ","Viborg",242,147,49,34,34,47
" "," ","Brønderslev",41,35,30,20,9,18
" "," ","Frederikshavn",85,105,35,14,10,26
" "," ","Hjørring",64,110,42,18,21,24
" "," ","Jammerbugt",26,33,14,12,13,34
" "," ","Læsø",0,4,0,1,0,0
" "," ","Mariagerfjord",45,63,16,27,12,29
" "," ","Morsø",48,25,11,9,10,10
" "," ","Rebild",6,24,14,10,4,1
" "," ","Thisted",60,69,18,15,9,37
" "," ","Vesthimmerlands",59,54,20,15,13,16
" "," ","Aalborg",420,581,169,79,49,97
" ","20-29 år"
" "," ","København",31452,64394,27172,11976,4868,6559
" "," ","Frederiksberg",4391,8912,3018,1149,390,467
" "," ","Dragør",65,121,122,66,34,66
" "," ","Tårnby",573,904,653,352,181,318
" "," ","Albertslund",1154,788,478,338,194,218
" "," ","Ballerup",984,1353,817,430,198,162
" "," ","Brøndby",554,945,685,492,228,333
" "," ","Gentofte",1057,1903,860,499,441,718
" "," ","Gladsaxe",2107,2692,1353,749,330,332
" "," ","Glostrup",587,941,478,231,126,151
" "," ","Herlev",872,833,494,245,86,58
" "," ","Hvidovre",1535,1745,916,555,277,445
" "," ","Høje-Taastrup",750,1482,1074,705,421,606
" "," ","Ishøj",417,659,466,436,240,314
" "," ","Lyngby-Taarbæk",2501,2266,735,281,177,246
" "," ","Rødovre",876,1523,794,444,202,294
" "," ","Vallensbæk",153,368,337,198,145,234
" "," ","Allerød",197,247,277,128,89,72
" "," ","Egedal",251,543,657,401,165,195
" "," ","Fredensborg",305,589,590,336,186,206
" "," ","Frederikssund",389,734,670,409,197,241
" "," ","Furesø",320,509,445,291,143,230
" "," ","Gribskov",169,423,556,352,194,327
" "," ","Halsnæs",226,502,497,334,202,234
" "," ","Helsingør",864,1326,844,550,274,314
" "," ","Hillerød",859,1484,763,483,235,347
" "," ","Hørsholm",236,358,192,107,84,86
" "," ","Rudersdal",1076,1026,587,264,218,300
" "," ","Bornholm",596,775,545,276,108,121
" "," ","Christiansø",0,0,0,0,0,0
" "," ","Greve",437,807,759,483,231,347
" "," ","Køge",734,1715,1135,664,319,451
" "," ","Lejre",106,291,326,286,79,166
" "," ","Roskilde",2686,3163,1349,660,260,437
" "," ","Solrød",203,388,381,216,75,62
" "," ","Faxe",408,755,658,402,194,231
" "," ","Guldborgsund",1167,1660,1004,568,194,245
" "," ","Holbæk",1033,1865,1213,753,324,390
" "," ","Kalundborg",605,1061,804,521,192,199
" "," ","Lolland",577,824,583,371,141,170
" "," ","Næstved",1710,2888,1504,843,327,413
" "," ","Odsherred",313,579,479,292,142,167
" "," ","Ringsted",566,1080,697,428,138,234
" "," ","Slagelse",2091,3247,1600,850,339,339
" "," ","Sorø",310,676,477,249,106,126
" "," ","Stevns",139,366,359,227,102,124
" "," ","Vordingborg",684,972,681,401,174,227
" "," ","Assens",433,824,685,378,122,135
" "," ","Faaborg-Midtfyn",525,1103,847,449,159,268
" "," ","Kerteminde",241,436,338,228,74,92
" "," ","Langeland",119,228,143,62,30,34
" "," ","Middelfart",445,931,633,330,87,86
" "," ","Nordfyns",259,552,487,308,138,203
" "," ","Nyborg",460,752,487,294,86,73
" "," ","Odense",10576,17431,6149,2596,1047,1823
" "," ","Svendborg",1420,1504,920,532,184,318
" "," ","Ærø",103,92,72,28,8,16
" "," ","Billund",502,628,406,285,53,73
" "," ","Esbjerg",3969,5008,2291,1116,317,314
" "," ","Fanø",13,29,19,20,3,3
" "," ","Fredericia",1317,1694,934,448,134,172
" "," ","Haderslev",1149,1685,956,531,177,185
" "," ","Kolding",2565,3890,1748,878,307,316
" "," ","Sønderborg",1805,1992,1107,635,204,222
" "," ","Tønder",581,877,628,386,161,122
" "," ","Varde",699,1222,869,497,232,179
" "," ","Vejen",548,1033,802,465,161,225
" "," ","Vejle",2340,4093,2073,1074,383,508
" "," ","Aabenraa",1078,1562,917,525,200,158
" "," ","Favrskov",426,943,712,400,132,185
" "," ","Hedensted",444,929,777,469,136,209
" "," ","Horsens",2698,3881,1860,960,371,416
" "," ","Norddjurs",718,1066,600,364,156,211
" "," ","Odder",258,371,299,189,54,117
" "," ","Randers",2700,4201,1802,894,236,245
" "," ","Samsø",19,44,39,10,11,6
" "," ","Silkeborg",1635,2766,1644,783,301,315
" "," ","Skanderborg",586,983,795,485,149,153
" "," ","Syddjurs",362,664,581,337,140,278
" "," ","Aarhus",17769,39247,13995,5401,2127,3748
" "," ","Herning",2431,3517,1606,890,301,355
" "," ","Holstebro",1618,2199,1083,556,194,286
" "," ","Ikast-Brande",555,1098,706,438,137,211
" "," ","Lemvig",323,414,258,173,32,57
" "," ","Ringkøbing-Skjern",901,1361,888,548,217,231
" "," ","Skive",1132,1410,723,336,114,96
" "," ","Struer",343,487,325,161,49,67
" "," ","Viborg",2174,3107,1717,879,257,318
" "," ","Brønderslev",507,931,666,375,106,111
" "," ","Frederikshavn",1163,1519,885,482,137,123
" "," ","Hjørring",1264,2019,1047,617,193,184
" "," ","Jammerbugt",440,806,665,352,150,131
" "," ","Læsø",16,24,12,9,3,0
" "," ","Mariagerfjord",693,1021,772,442,95,149
" "," ","Morsø",315,542,311,181,53,37
" "," ","Rebild",252,693,550,274,85,75
" "," ","Thisted",781,1174,740,402,130,115
" "," ","Vesthimmerlands",542,970,613,334,152,134
" "," ","Aalborg",13179,19422,5609,2126,707,1046
" ","30-39 år"
" "," ","København",21960,34113,28369,21354,6705,5636
" "," ","Frederiksberg",2956,4820,4193,3050,756,401
" "," ","Dragør",80,155,331,470,172,91
" "," ","Tårnby",482,834,1100,1843,589,348
" "," ","Albertslund",445,451,632,904,480,331
" "," ","Ballerup",656,880,1267,1783,623,299
" "," ","Brøndby",460,679,978,1327,600,458
" "," ","Gentofte",926,1259,1526,2087,798,580
" "," ","Gladsaxe",1180,1601,2115,2695,980,427
" "," ","Glostrup",473,500,696,858,322,247
